month_date,month,room_type,listing_count,host_count,active_listing_count,avg_daily_rate_mean,avg_daily_rate_median,occupancy_mean,revenue_mean,revenue_median,revpar_mean,star_rating_mean,superhost_share,latitude_mean,longitude_mean
2024-07-01,2024-07,private_room,192,174,131,155.759375,92.05,0.18566145833333333,727.75,0.0,23.4758064516129,4.764938271604938,0.3385416666666667,40.72981267057292,-73.93843568546875
2024-07-01,2024-07,shared_room,5,5,3,92.03999999999999,57.0,0.057999999999999996,370.2,0.0,11.941935483870967,4.773333333333333,0.2,40.701262629999995,-73.894607804
2024-08-01,2024-08,entire_home,276,249,204,253.56014492753624,195.89999999999998,0.23993840579710143,1749.5144927536232,0.0,56.43595137914913,4.76763948497854,0.33695652173913043,40.724830079202896,-73.94924933054348
2024-08-01,2024-08,hotel_room,1,1,1,264.1,264.1,0.097,772.0,772.0,24.90322580645161,4.9,0.0,40.737774,-73.953659
2024-08-01,2024-08,private_room,192,174,130,155.36614583333332,92.8,0.19035416666666669,922.9166666666666,0.0,29.771505376344084,4.764938271604938,0.3385416666666667,40.72981267057292,-73.93843568546875
2024-08-01,2024-08,shared_room,5,5,3,91.1,55.8,0.071,436.2,0.0,14.070967741935485,4.773333333333333,0.2,40.701262629999995,-73.894607804
2024-09-01,2024-09,entire_home,276,249,205,254.15833333333333,192.1,0.2423876811594203,1655.9021739130435,0.0,55.19673913043478,4.76763948497854,0.33695652173913043,40.724830079202896,-73.94924933054348
2024-09-01,2024-09,hotel_room,1,1,1,373.8,373.8,0.3,3542.0,3542.0,118.06666666666666,4.9,0.0,40.737774,-73.953659
2024-09-01,2024-09,private_room,192,174,131,164.14895833333333,93.15,0.211125,1043.3177083333333,0.0,34.777256944444446,4.764938271604938,0.3385416666666667,40.72981267057292,-73.93843568546875
2024-09-01,2024-09,shared_room,5,5,3,91.02000000000001,55.4,0.1066,465.2,0.0,15.506666666666666,4.773333333333333,0.2,40.701262629999995,-73.894607804
2024-10-01,2024-10,entire_home,276,249,198,254.97500000000002,192.0,0.21517028985507247,1512.572463768116,0.0,48.792660121552125,4.76763948497854,0.33695652173913043,40.724830079202896,-73.94924933054348
2024-10-01,2024-10,hotel_room,1,1,1,410.7,410.7,0.194,2501.0,2501.0,80.6774193548387,4.9,0.0,40.737774,-73.953659
2024-10-01,2024-10,private_room,192,174,127,159.63333333333333,94.0,0.191375,972.3385416666666,0.0,31.36575940860215,4.764938271604938,0.3385416666666667,40.72981267057292,-73.93843568546875
2024-10-01,2024-10,shared_room,5,5,2,91.36,56.3,0.0646,400.0,0.0,12.903225806451612,4.773333333333333,0.2,40.701262629999995,-73.894607804
2024-11-01,2024-11,entire_home,276,249,201,252.1210144927536,189.64999999999998,0.19795652173913045,1315.9492753623188,0.0,43.864975845410626,4.76763948497854,0.33695652173913043,40.724830079202896,-73.94924933054348
2024-11-01,2024-11,hotel_room,1,1,1,377.4,377.4,0.133,1642.0,1642.0,54.73333333333333,4.9,0.0,40.737774,-73.953659
