month_date,month,property_type,listing_count,host_count,active_listing_count,avg_daily_rate_mean,avg_daily_rate_median,occupancy_mean,revenue_mean,revenue_median,revpar_mean,star_rating_mean,superhost_share,latitude_mean,longitude_mean
2023-03-01,2023-03,Boutique & Hotels,36,30,33,331.325,238.85,0.3199444444444445,2133.722222222222,1467.5,68.82974910394266,4.500322580645161,0.16666666666666666,40.74610677777778,-73.96754108333333
2023-03-01,2023-03,House,126,114,109,179.75,125.75,0.3627698412698413,1856.0079365079366,0.0,59.87122375832053,4.738725490196079,0.29365079365079366,40.71399863992063,-73.9036405165873
2023-03-01,2023-03,Others,20,20,17,147.08499999999998,110.05,0.46615,1660.15,1882.5,53.55322580645161,4.841764705882353,0.4,40.711024416,-73.9074431545
2023-04-01,2023-04,Apartment & Condo,574,518,499,202.55226480836237,148.2,0.3822317073170732,1854.6080139372823,0.0,61.820267131242744,4.7060751565762,0.2665505226480836,40.73096177841463,-73.94865744679443
2023-04-01,2023-04,Boutique & Hotels,36,30,33,335.6638888888889,255.45,0.3065277777777778,2378.472222222222,1602.5,79.2824074074074,4.500322580645161,0.16666666666666666,40.74610677777778,-73.96754108333333
2023-04-01,2023-04,House,126,114,109,180.50714285714287,125.55000000000001,0.4071666666666666,2105.1825396825398,489.0,70.17275132275132,4.738725490196079,0.29365079365079366,40.71399863992063,-73.9036405165873
2023-04-01,2023-04,Others,20,20,18,156.32999999999998,120.4,0.54665,2622.5,1907.5,87.41666666666666,4.841764705882353,0.4,40.711024416,-73.9074431545
2023-05-01,2023-05,Apartment & Condo,574,518,497,207.7294425087108,150.14999999999998,0.4009216027874564,2119.289198606272,0.0,68.36416769697651,4.7060751565762,0.2665505226480836,40.73096177841463,-73.94865744679443
2023-05-01,2023-05,Boutique & Hotels,36,30,33,363.1638888888889,299.3,0.2831666666666666,2481.0833333333335,1894.0,80.03494623655915,4.500322580645161,0.16666666666666666,40.74610677777778,-73.96754108333333
2023-05-01,2023-05,House,126,114,109,186.03095238095239,132.7,0.4503333333333333,2520.2619047619046,1090.5,81.29877112135176,4.738725490196079,0.29365079365079366,40.71399863992063,-73.9036405165873
2023-05-01,2023-05,Others,20,20,18,162.8,128.9,0.5532,2982.8,2923.5,96.21935483870968,4.841764705882353,0.4,40.711024416,-73.9074431545
2023-06-01,2023-06,Apartment & Condo,574,518,495,203.96672473867594,151.05,0.40499825783972127,2101.726480836237,0.0,70.05754936120789,4.7060751565762,0.2665505226480836,40.73096177841463,-73.94865744679443
2023-06-01,2023-06,Boutique & Hotels,36,30,33,351.59722222222223,294.54999999999995,0.2416111111111111,1677.111111111111,647.5,55.903703703703705,4.500322580645161,0.16666666666666666,40.74610677777778,-73.96754108333333
2023-06-01,2023-06,House,126,114,108,187.134126984127,135.95,0.4463015873015873,2475.0,1082.5,82.5,4.738725490196079,0.29365079365079366,40.71399863992063,-73.9036405165873
2023-06-01,2023-06,Others,20,20,18,163.20499999999998,122.19999999999999,0.58675,2780.9,2630.0,92.69666666666667,4.841764705882353,0.4,40.711024416,-73.9074431545
2023-07-01,2023-07,Apartment & Condo,574,518,488,203.1404181184669,154.05,0.3817090592334495,2142.7996515679442,0.0,69.12256940541755,4.7060751565762,0.2665505226480836,40.73096177841463,-73.94865744679443
2023-07-01,2023-07,Boutique & Hotels,36,30,33,355.32222222222225,289.35,0.24733333333333332,2189.527777777778,411.5,70.62992831541219,4.500322580645161,0.16666666666666666,40.74610677777778,-73.96754108333333
2023-07-01,2023-07,House,126,114,114,189.13174603174602,135.05,0.4741666666666666,2644.7619047619046,1156.0,85.31490015360983,4.738725490196079,0.29365079365079366,40.71399863992063,-73.9036405165873
2023-07-01,2023-07,Others,20,20,18,167.17000000000002,133.7,0.5371,2332.55,2290.5,75.24354838709678,4.841764705882353,0.4,40.711024416,-73.9074431545
2023-08-01,2023-08,Apartment & Condo,574,518,486,198.44825783972126,149.5,0.363383275261324,1919.2578397212544,0.0,61.91154321681466,4.7060751565762,0.2665505226480836,40.73096177841463,-73.94865744679443
2023-08-01,2023-08,Boutique & Hotels,36,30,33,332.3833333333333,238.5,0.22041666666666668,1602.9722222222222,0.0,51.708781362007166,4.500322580645161,0.16666666666666666,40.74610677777778,-73.96754108333333
2023-08-01,2023-08,House,126,114,113,189.8452380952381,131.65,0.45085714285714285,2515.7063492063494,823.0,81.15181771633384,4.738725490196079,0.29365079365079366,40.71399863992063,-73.9036405165873
2023-08-01,2023-08,Others,20,20,19,161.38,127.25,0.55325,2178.65,2238.5,70.27903225806452,4.841764705882353,0.4,40.711024416,-73.9074431545
2023-09-01,2023-09,Apartment & Condo,574,518,482,202.91585365853658,150.2,0.31102264808362373,1767.6463414634147,0.0,58.921544715447155,4.7060751565762,0.2665505226480836,40.73096177841463,-73.94865744679443
2023-09-01,2023-09,Boutique & Hotels,36,30,33,397.0416666666667,335.75,0.36016666666666663,3935.8611111111113,2680.5,131.19537037037037,4.500322580645161,0.16666666666666666,40.74610677777778,-73.96754108333333
2023-09-01,2023-09,House,126,114,112,192.76111111111112,131.8,0.41400000000000003,2311.214285714286,479.5,77.0404761904762,4.738725490196079,0.29365079365079366,40.71399863992063,-73.9036405165873
2023-09-01,2023-09,Others,20,20,19,153.395,119.1,0.48,1722.45,1702.0,57.415,4.841764705882353,0.4,40.711024416,-73.9074431545
2023-10-01,2023-10,Apartment & Condo,526,475,425,197.23346007604565,151.5,0.19973954372623576,1144.9353612167301,0.0,36.93339874892678,4.713860045146727,0.2718631178707224,40.73158556406844,-73.94832054368821
2023-10-01,2023-10,Boutique & Hotels,33,27,30,404.5545454545454,336.0,0.26881818181818184,3260.4848484848485,174.0,105.17693059628544,4.495172413793104,0.18181818181818182,40.74100163636364,-73.96999542424243
2023-10-01,2023-10,House,113,104,97,194.78053097345133,127.9,0.2294778761061947,1439.0973451327434,0.0,46.42249500428205,4.764301075268817,0.30973451327433627,40.71199078106195,-73.9010465660177
2023-10-01,2023-10,Others,19,19,18,148.53684210526316,128.2,0.4498947368421053,1447.6315789473683,1168.0,46.697792869269946,4.835,0.3684210526315789,40.71255885894737,-73.90451911000001
2023-11-01,2023-11,Apartment & Condo,526,475,408,194.7032319391635,149.65,0.12863878326996198,681.2794676806084,0.0,22.70931558935361,4.713860045146727,0.2718631178707224,40.73158556406844,-73.94832054368821
2023-11-01,2023-11,Boutique & Hotels,33,27,30,390.6484848484848,327.1,0.16357575757575757,2021.6666666666667,0.0,67.3888888888889,4.495172413793104,0.18181818181818182,40.74100163636364,-73.96999542424243
2023-11-01,2023-11,House,113,104,95,193.1849557522124,129.2,0.1442566371681416,857.6017699115044,0.0,28.586725663716816,4.764301075268817,0.30973451327433627,40.71199078106195,-73.9010465660177
2023-11-01,2023-11,Others,19,19,17,144.51052631578946,128.9,0.1947894736842105,601.7368421052631,0.0,20.057894736842105,4.835,0.3684210526315789,40.71255885894737,-73.90451911000001
2023-12-01,2023-12,Apartment & Condo,526,475,388,197.2610266159696,148.3,0.11738593155893536,674.3916349809886,0.0,21.75456887035447,4.713860045146727,0.2718631178707224,40.73158556406844,-73.94832054368821
2023-12-01,2023-12,Boutique & Hotels,33,27,30,410.8181818181818,344.8,0.1857272727272727,3298.090909090909,0.0,106.39002932551318,4.495172413793104,0.18181818181818182,40.74100163636364,-73.96999542424243
2023-12-01,2023-12,House,113,104,91,197.29115044247789,131.2,0.11079646017699114,658.6548672566372,0.0,21.246931201827007,4.764301075268817,0.30973451327433627,40.71199078106195,-73.9010465660177
2023-12-01,2023-12,Others,19,19,16,146.02105263157895,124.5,0.20373684210526316,859.1578947368421,0.0,27.71477079796265,4.835,0.3684210526315789,40.71255885894737,-73.90451911000001
2024-01-01,2024-01,Apartment & Condo,526,475,357,189.95247148288973,145.95,0.07310076045627377,361.5665399239544,0.0,11.663436771740464,4.713860045146727,0.2718631178707224,40.73158556406844,-73.94832054368821
2024-01-01,2024-01,Boutique & Hotels,33,27,30,343.6212121212121,216.6,0.08312121212121212,541.4545454545455,0.0,17.466275659824046,4.495172413793104,0.18181818181818182,40.74100163636364,-73.96999542424243
2024-01-01,2024-01,House,113,104,87,189.78761061946904,129.3,0.06536283185840708,341.2300884955752,0.0,11.007422209534683,4.764301075268817,0.30973451327433627,40.71199078106195,-73.9010465660177
2024-01-01,2024-01,Others,19,19,16,141.76842105263157,117.8,0.05610526315789474,237.57894736842104,0.0,7.66383701188455,4.835,0.3684210526315789,40.71255885894737,-73.90451911000001
2024-02-01,2024-02,Apartment & Condo,526,475,348,186.23022813688215,146.25,0.06370912547528518,266.36692015209127,0.0,9.185066212141077,4.713860045146727,0.2718631178707224,40.73158556406844,-73.94832054368821
2024-02-01,2024-02,Boutique & Hotels,33,27,29,335.3424242424242,227.9,0.11387878787878788,805.1212121212121,0.0,27.762800417972834,4.495172413793104,0.18181818181818182,40.74100163636364,-73.96999542424243
2024-02-01,2024-02,House,113,104,86,182.84601769911504,126.3,0.0762566371681416,425.1592920353982,0.0,14.660665242599938,4.764301075268817,0.30973451327433627,40.71199078106195,-73.9010465660177
2024-02-01,2024-02,Others,19,19,16,140.83684210526317,110.6,0.11068421052631577,438.05263157894734,0.0,15.105263157894736,4.835,0.3684210526315789,40.71255885894737,-73.90451911000001
